TableName, FieldName
Code_Entity, Description
Code_Entity, Effective_End_Dt
Code_Entity, Effective_Start_Dt
Code_Entity, External_Name
Code_Entity, ID
Code_Entity, Internal_Name
Code_Entity, SchoolID
Code_Entity, SortOrder
Code_Entity, Unused1
Courses, DCID
Courses, Add_to_GPA
Courses, Code
Courses, Corequisites
Courses, Course_Name
Courses, Course_Number
Courses, CRDC_SingleSexCode
Courses, Credit_Hours
Courses, CreditType
Courses, CrHrWeight
Courses, Custom
Courses, Exclude_ADA
Courses, ExcludeFromClassRank
Courses, ExcludeFromGPA
Courses, ExcludeFromHonorRoll
Courses, ExcludeFromStoredGrades
Courses, GPA_AddedValue
Courses, GradeScaleID
Courses, ID
Courses, MA_AP
Courses, MA_CoreAcademicIndicator
Courses, MA_course_level
Courses, MA_exclude_from_dataWarehouse
Courses, MA_exclude_from_epims
Courses, MA_grade_level
Courses, MA_marknotrequired
Courses, MA_nces_code
Courses, MA_nopercent
Courses, MA_SchoolCode
Courses, MA_ungraded
Courses, MaxClassSize
Courses, MaxCredit
Courses, Multiterm
Courses, PowerLink
Courses, PowerLinkSpan
Courses, Prerequisites
Courses, ProgramID
Courses, RegAvailable
Courses, RegCourseGroup
Courses, RegGradeLevels
Courses, RegTeachers
Courses, Sched_BalancePriority
Courses, Sched_BalanceTerms
Courses, Sched_BlockStart
Courses, Sched_CloseSectionAfterMax
Courses, Sched_ConcurrentFlag
Courses, Sched_ConsecutivePeriods
Courses, Sched_ConsecutiveTerms
Courses, Sched_CoursePackage
Courses, Sched_CoursePkgContents
Courses, Sched_CourseSubjectAreaCode
Courses, Sched_Department
Courses, Sched_Do_Not_Print
Courses, Sched_ExtraDayScheduleTypeCode
Courses, Sched_Facilities
Courses, Sched_Frequency
Courses, Sched_FullCatalogDescription
Courses, Sched_GlobalSubstitution1
Courses, Sched_GlobalSubstitution2
Courses, Sched_GlobalSubstitution3
Courses, Sched_LabFlag
Courses, Sched_LabFrequency
Courses, Sched_LabPeriodsPerMeeting
Courses, Sched_LengthInNumberOfTerms
Courses, Sched_LoadPriority
Courses, Sched_LoadType
Courses, Sched_LunchCourse
Courses, Sched_MaximumDaysPerCycle
Courses, Sched_MaximumEnrollment
Courses, Sched_MaximumPeriodsPerDay
Courses, Sched_MinimumDaysPerCycle
Courses, Sched_MinimumPeriodsPerDay
Courses, Sched_MultipleRooms
Courses, Sched_PeriodsPerCycle
Courses, Sched_PeriodsPerMeeting
Courses, Sched_RepeatsAllowed
Courses, Sched_Scheduled
Courses, Sched_ScheduleTypeCode
Courses, Sched_SectionsOffered
Courses, Sched_SubstitutionAllowed
Courses, Sched_TeacherCount
Courses, Sched_UsePreEstablishedTeams
Courses, Sched_UseSectionTypes
Courses, Sched_ValidDayCombinations
Courses, Sched_ValidExtraDayCombinations
Courses, Sched_ValidStartPeriods
Courses, Sched_Year
Courses, SchoolGroup
Courses, SchoolID
Courses, SectionsToOffer
Courses, Status
Courses, TargetClassSize
Courses, TermsOffered
Courses, Vocational
CustomText, DCID
CustomText, FieldNo
CustomText, ID
CustomText, KeyNo
CustomText, Value
CustomVarchars, DCID
CustomVarchars, FieldNo
CustomVarchars, ID
CustomVarchars, KeyNo
CustomVarchars, Value
Cycle_Day, DCID
Cycle_Day, Abbreviation
Cycle_Day, Day_Name
Cycle_Day, Day_Number
Cycle_Day, ID
Cycle_Day, Letter
Cycle_Day, SchoolID
Cycle_Day, SortOrder
Cycle_Day, Year_ID
DBLog, DCID
DBLog, Code
DBLog, Date
DBLog, ID
DBLog, IPAddress
DBLog, SchoolID
DBLog, Server_InstanceID
DBLog, TData
DBLog, Time
DBLog, Type
DBLog, UserID
DB_Object, DCID
DB_Object, Audit_YN
DB_Object, Cleanup_Freq
DB_Object, ID
DB_Object, Name
DB_Object, Object_Internal_Num
DB_Object, Object_Type
DB_Object, Parent_DBObjectID
DB_Object, unused
DB_Object, unused2
DB_Object, unused3
DB_Object, Write_To_File_YN
DB_Version, DCID
DB_Version, CreatedBy
DB_Version, CreatedDT
DB_Version, ID
DB_Version, MajorVersion
DB_Version, MinorVersion
DB_Version, Version
Department, DCID
Department, Description
Department, ID
Department, SchoolID
Fee_Type, DCID
Fee_Type, CreationDate
Fee_Type, Custom
Fee_Type, Description
Fee_Type, Fee_Category_Name
Fee_Type, ID
Fee_Type, ModificationDate
Fee_Type, Name
Fee_Type, Priority
Fee_Type, SchoolID
Fields, DCID
Fields, ColNo
Fields, Cols
Fields, Data
Fields, DataIndex
Fields, Datalen
Fields, Default
Fields, Description
Fields, DispName
Fields, FieldNo
Fields, FileNo
Fields, FormatString
Fields, Help
Fields, HowDisp
Fields, HTML
Fields, ID
Fields, InputFilter
Fields, InUse
Fields, MaxLen
Fields, MaxVal
Fields, MinLen
Fields, MinVal
Fields, Name
Fields, Required
Fields, Rows
Fields, SyncStatus
Fields, Type
Fields, Unused1
FTE, DCID
FTE, Description
FTE, Dflt_Att_Mode_Code
FTE, Dflt_Conversion_Mode_Code
FTE, FTE_Value
FTE, ID
FTE, Name
FTE, SchoolID
FTE, YearID
FTE_Grade, DCID
FTE_Grade, FTEID
FTE_Grade, Grade_Level
FTE_Grade, ID
Gen, DCID
Gen, Cat
Gen, Custom
Gen, Date
Gen, Date2
Gen, ID
Gen, Log
Gen, Name
Gen, PowerLink
Gen, PowerLinkSpan
Gen, SchoolID
Gen, SortOrder
Gen, spedindicator
Gen, Time1
Gen, Time2
Gen, Value
Gen, Value2
Gen, Value_x
Gen, ValueLi
Gen, ValueLi2
Gen, ValueLi3
Gen, ValueLi4
Gen, ValueR
Gen, ValueR2
Gen, ValueT
Gen, ValueT2
Gen, YearID
