Text20,Text22,Text7,Text15,Text25,Text31,Text34,Text1
12814018,1029035237,94199,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12813794,1078035232,94200,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12811352,1019791620,71810,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12813806,1069035232,94211,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12810288,1071354521,78379,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12811743,1049938302,73966,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,22,27150
12814195,1076035230,94241,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12803363,1081823725,78909,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,10,24215
12812765,1011611338,78278,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12813749,1014034230,94255,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12809805,1023792625,69933,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,22909
12812209,1052410432,74171,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12812533,1034618938,72690,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12813787,1083036238,94266,8/28/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12814066,1004036231,94269,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12810369,1077086722,76224,8/28/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12813876,1052682524,94282,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12814324,1068034230,94283,8/28/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12812525,1097411433,97247,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
99702020,1076037402,76145,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,22,27150
12812101,1014908635,78296,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26633
12812249,1049318436,73917,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12811736,1089505034,77289,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,22909
12814312,1092034236,94320,9/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26633
12813926,1067732335,94324,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12812337,1056411437,74513,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12809174,1032839728,72545,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12813582,1043280527,73404,8/28/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12802888,1061428320,74930,10/13/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,27401
12814245,1032035231,94351,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12812180,1065412438,75292,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12808984,1084035521,76832,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12814258,1072038238,94366,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12813969,1086035231,94371,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26633
12804000,1093117937,77595,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,18,27150
12810717,1002599728,70398,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,22909
12812521,1062917436,75044,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12826063,1043106131,100251,12/11/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12808197,1090033121,77337,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12814348,1064035236,94395,8/26/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12803531,1048814122,73871,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12810460,1016730134,97296,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,26634
12802488,1079406628,76423,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,10,24215
12813940,1097034232,94413,9/2/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,20,26634
12802489,1018204626,71669,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
12802954,1095211528,78985,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,10,24215
12812701,1046412437,73668,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,7,26636
12810713,1077791624,76279,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,25,22909
12801429,1060304624,74827,8/1/2015 12:00:00 AM,7/31/2016 11:59:00 PM,,11,26871
